alcance,tabla,propósito,campo,tipo,PK/FK,NULL,UNIQUE,valor_por_defecto,referencia,descripción
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,id_incidencia,BIGINT,FK,SÍ,NO,,PREF_INCIDENCIA.id_incidencia,Incidencia objetivo.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,id_orden,BIGINT,FK,SÍ,NO,,PREF_ORDEN_TRABAJO.id_orden,Orden objetivo.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,solicitado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Autor de la solicitud.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,motivo_solicitud,VARCHAR(1000),,NO,NO,,,Fundamento de solicitud.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,fecha_solicitud,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de solicitud.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,resultado,VARCHAR(15),,NO,NO,'PENDIENTE',,"PENDIENTE, ACEPTADA o RECHAZADA."
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,resuelto_por,BIGINT,FK,SÍ,NO,,PREF_USUARIO.id_usuario,Coordinador que resuelve.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,fecha_resolucion,TIMESTAMP,,SÍ,NO,,,Momento de resolución.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,motivo_resolucion,VARCHAR(1000),,SÍ,NO,,,Fundamento de la decisión.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,id_correccion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,tipo_registro,VARCHAR(60),,NO,NO,,,Tipo lógico del registro corregido.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,id_registro,BIGINT,,NO,NO,,,Identificador del registro corregido.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,nombre_campo,VARCHAR(80),,NO,NO,,,Campo corregido.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,valor_anterior,VARCHAR(4000),,SÍ,NO,,,Representación anterior.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,valor_nuevo,VARCHAR(4000),,SÍ,NO,,,Representación nueva.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,motivo,VARCHAR(1000),,NO,NO,,,Justificación.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,autorizado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador que autoriza.
AMPLIACION,PREF_CORRECCION_AUDITADA,Corrección excepcional conservando valores anterior y nuevo.,fecha_correccion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de corrección.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,id_version_programacion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,id_asignacion,BIGINT,FK,NO,NO,,PREF_ASIGNACION_TECNICA.id_asignacion,Asignación versionada.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,numero_version,INTEGER,,NO,NO,,,Secuencia de versión.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,programada_inicio,TIMESTAMP,,NO,NO,,,Inicio de esa versión.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,programada_fin,TIMESTAMP,,NO,NO,,,Fin de esa versión.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,registrado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador que cambia.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,fecha_registro,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento del cambio.
AMPLIACION,PREF_VERSION_PROGRAMACION,Versiones detalladas de programación y reasignación.,motivo,VARCHAR(1000),,NO,NO,,,Razón de reprogramación.
